date,url,username,content,location,lanuage
2022-11-01 23:55:35+00:00,https://twitter.com/MaxBern34915452/status/1587594233363718144,MaxBern34915452,Pushing crypto adoption at Web Summit in Lisbon. https://t.co/EgRSDtHddo,,en
2022-11-01 23:54:32+00:00,https://twitter.com/JamesMArcher/status/1587593967268515840,JamesMArcher,@aaronjmate @TodMoore3 @KyivIndependent @MaxBlumenthal Web summit or war summit?,Outside as much as possible,en
2022-11-01 23:51:06+00:00,https://twitter.com/cnnportugal/status/1587593103527055364,cnnportugal,"A mulher do Presidente ucraniano, Olena Zelenska, acusou este domingo, em Lisboa, a Rússia de colocar a tecnologia “ao serviço do terror“ e pediu ajuda ao setor da inovação. 
Zelenska, que foi anunciada como convidada da Web Summit apenas este domi... https://t.co/uxoGR94HE5",Portugal,pt
2022-11-01 23:51:01+00:00,https://twitter.com/observadorpt/status/1587593081213358080,observadorpt,Web Summit. Uma noite atribulada e um regresso ao passado na cimeira que quer o impossível (e mais além) https://t.co/x17Lhziehq,Portugal,pt
2022-11-01 23:47:12+00:00,https://twitter.com/misryoum/status/1587592122827431936,misryoum,"{مؤلف}بالتعاون بين ""إيتيدا"" والشعبة العامة للاقتصاد الرقمي 

خليل حسن خليل: دعم القيادة السياسية للشركات الناشئة وراء حرصنا على المشاركة المصرية لدعم رواد الاعمال

كتب : عاطف طلب 
انطلقت اليوم فعاليات معرض ومؤتمر ""ويب ساميت Web Summit"" والمُنعقد خلال

https://t.co/R353zkZn1e https://t.co/4528gBJqg8",,ar
2022-11-01 23:42:10+00:00,https://twitter.com/shincryptoth/status/1587590853400596480,shincryptoth,"バイナンスCEOのCZは、リスボンで行われたWeb Summitで、金融不安の中でクリプトが唯一安定しているだろうと述べました。
クリプトの基本技術や供給量の制限を考慮すると、この混乱した金融状況の中で、クリプトが技術的に最も安定していると考えているようです
@decryptmedia https://t.co/1DVeKPEVHp",,ja
2022-11-01 23:40:27+00:00,https://twitter.com/NewsjunkyI/status/1587590423413141504,NewsjunkyI,"via https://t.co/qbHPQ7iPRN: Breaking: 'Ukraine first lady calls on tech leaders to help her country at Web Summit', https://t.co/Gp1v4NYlR0",Ireland,en
2022-11-01 23:37:43+00:00,https://twitter.com/DeHealth_World/status/1587589733110394880,DeHealth_World,"Next trend is MedFi, Next trend is DeHealth 🚀🚀🧬

Our team on Web Summit 2022 🌍

📌Incredible speakers, unprecedented networking opportunities, and proprietary software that maximizes your experience are what the Web Summit is known for in the world.
@binance @cz_binance #web3 https://t.co/JVFHFc8aBd",London,en
2022-11-01 23:35:44+00:00,https://twitter.com/Accountkiev/status/1587589234420248578,Accountkiev,"Today the Web Summit 2022 doors have officially opened. The special guest speaker  - Olena Zelenska was a keynote speaker highlighted before Apple, Binance, and Portugal's Prime Minister. 

Having spoken to everyone who was arriving in Lisbon prior to the…https://t.co/BOxG9iZIO8",Kyiv,en
2022-11-01 23:34:04+00:00,https://twitter.com/marinaguiao/status/1587588816311050240,marinaguiao,desfilando com minha pulseira de speaker do web summit thanks to @mililitrosa,Earth,en
2022-11-01 23:33:51+00:00,https://twitter.com/BFMTV/status/1587588760417366016,BFMTV,"""La Russie a mis la technologie au service de la terreur"": la première dame d'Ukraine critique Moscou au Web Summit de Lisbonne
https://t.co/JpGx1qdkvJ https://t.co/Y9jjCB5sLQ",France,fr
2022-11-01 23:32:40+00:00,https://twitter.com/SabineVdL/status/1587588464476057600,SabineVdL,"How to survive Web Summit
https://t.co/WE03p6IurB via @Siftedeu #Entrepreneurship #Tech",London,en
2022-11-01 23:30:35+00:00,https://twitter.com/IrishTimes/status/1587587940116471808,IrishTimes,"Delegates to the Web Summit had to wait longer than planned for the start of this year’s Web Summit in Lisbon’s Altice Arena last night after equipment tethered to the ceiling came loose, causing concern in the seating area below.

https://t.co/nQ5IndN7MH",Ireland,en
2022-11-01 23:28:25+00:00,https://twitter.com/Terse_tech/status/1587587394865627136,Terse_tech,"#Binance CEO Changpeng Zhao took to the stage at Web Summit to discuss regulators, the #crypto crash, and Elon Musk's unpredictability.",,en
2022-11-01 23:28:07+00:00,https://twitter.com/Diasangel1988/status/1587587317744766977,Diasangel1988,"Hoje começou WEB SUMMIT dia 1 até 4 de Novembro 2022! Quem é que gosta de teleologia e quem é que quer criar uma própria empresa, vale a pena ver WEB SUMMIT no YouTube https://t.co/NrC2t2tuS0",,pt
2022-11-01 23:28:02+00:00,https://twitter.com/rmarvao/status/1587587296873906177,rmarvao,Finishing #Day1️⃣ of Web Summit at #TheEuropas by @mikebutcher at #Factory #Hub #Creativo #Beato 🎉 plus the #Night #Summit with my co-founder @pedrosarv from Beta-i • collaborative innovation and a bunch of friends. Congrats Simon for an amazing job with…https://t.co/lNe829Rmag,Lisbon / Brussels,en
2022-11-01 23:26:24+00:00,https://twitter.com/bxcoast/status/1587586886691872768,bxcoast,web summit é uma boa altura para instalar Tinder 🤫,Lisboa,pt
2022-11-01 23:23:43+00:00,https://twitter.com/VeraTomlinson18/status/1587586212042350594,VeraTomlinson18,Pushing crypto adoption at Web Summit in Lisbon. https://t.co/4w0Jz0otGA,,en
2022-11-01 23:22:55+00:00,https://twitter.com/SIPO_Tokyo/status/1587586011810308097,SIPO_Tokyo,"#カルダノ の創設者、チャールズ・ホスキンソンさんが、現地時間11月3日にリスボンで開催される世界最大のテックカンファレンス「Web Summit」で、「Is Crypto Dead?」というテーマで講演

変化し続けるこの業界の次の展開を語ります。

詳しくはこちら： https://t.co/gkPL01yX7K

#Cardano #ADA https://t.co/NbC8TjBR92",TOKYO,ja
2022-11-01 23:20:28+00:00,https://twitter.com/Mdiac_/status/1587585395453206528,Mdiac_,"@ape6743 @9dccxyz @gmoneyNFT Awesome, I'll be at Web Summit tomorrow, would be great to meet and grab a POAP. Still have my @9dccxyz t-shirts locked up",,en
2022-11-01 23:20:04+00:00,https://twitter.com/ciananbrennan/status/1587585292768509952,ciananbrennan,"Slick Web Summit briefly succumbs to Sod's Law
https://t.co/Gk1epsw3Fg","Dublin, Ireland",en
2022-11-01 23:18:31+00:00,https://twitter.com/ciananbrennan/status/1587584903075725312,ciananbrennan,"Ukraine's first lady tells Web Summit: 'You can use technology to help, not destroy'
https://t.co/gcC62ZhWdG","Dublin, Ireland",en
2022-11-01 23:17:28+00:00,https://twitter.com/lux24_lu/status/1587584640138633216,lux24_lu,"Web Summit: Primeira-dama ucraniana acusa Rússia de colocar tecnologia “ao serviço do terror”
https://t.co/8kj0y7orrh",Luxembourg,pt
2022-11-01 23:16:02+00:00,https://twitter.com/conoroc1979/status/1587584277562249216,conoroc1979,"@ciananbrennan Oh ffs it's a 'web summit', wtf is all this 🇺🇦 bs..",,en
2022-11-01 23:15:36+00:00,https://twitter.com/acidadebranca/status/1587584171001667585,acidadebranca,"Enquanto a Web Summit esteve a funcionar deixei de ter wifi. 

Impressionante.","Lisboa, Portugal",pt
2022-11-01 23:11:23+00:00,https://twitter.com/b_portal/status/1587583108605480963,b_portal,Open Metaverse Alliance (OMA3) é lançada na Web Summit em Lisboa https://t.co/gTBJGUwSU5,,pt
2022-11-01 23:09:57+00:00,https://twitter.com/MiguelR43502938/status/1587582748142845955,MiguelR43502938,"@unicornflisboa @Moedas @WebSummit Consta que mandaste colocar um bebedouro para os unicórnios na entrada para a web summit. 
É verdade?
Estás a surpreender!!!",Porto ,pt
2022-11-01 23:08:31+00:00,https://twitter.com/joshsny/status/1587582385113153536,joshsny,The opening night of Web Summit was a great reminder that no one has a clue what’s going on,"Cambridge, England",en
2022-11-01 23:08:01+00:00,https://twitter.com/JimJoe20974743/status/1587582262886993920,JimJoe20974743,@moonika_kase @olena_zelenska Why is the Web Summit venue only half full @paddycosgrave? Are you a bluffer who has finally been found out?,,en
2022-11-01 23:05:50+00:00,https://twitter.com/Renascenca/status/1587581713487908864,Renascenca,Moedas na Web Summit. Lisboa é “a cidade onde o impossível é possível” https://t.co/YXDOFvNgKU,,pt
2022-11-01 23:04:28+00:00,https://twitter.com/Lolecas16/status/1587581365859631110,Lolecas16,"""A Rússia põe a tecnologia ao serviço do terror"" afirmou Olena Zelenska na Web Summit, em Lisboa https://t.co/myVymiqCtY",,pt
2022-11-01 23:03:33+00:00,https://twitter.com/ftwdao/status/1587581135462227969,ftwdao,"We’re at the Web Summit in Lisbon and listening to Lisa Jackson’s powerful ideas. One of the quotes that we like most from her is this: 

“We can’t find the answers we need without women involved. Period.”

We could not agree more as these is the foundation of all what we do 🙌🏼 https://t.co/LRfWuNhvrd",Switzerland,en
2022-11-01 23:03:01+00:00,https://twitter.com/vaskhowski/status/1587581001827774464,vaskhowski,@paddycosgrave @WebSummit I feel that web summit has turned to psychiatric summit and the attendees have all left the room.,PT,en
2022-11-01 23:01:58+00:00,https://twitter.com/odair_eng/status/1587580736445583369,odair_eng,Depois o CEO do Web Summit @paddycosgrave fez uma ótima cobrança ao governo irlandês que está acobertando vários oligarcas russos!,"Santa Catarina, Brazil",pt
2022-11-01 23:01:55+00:00,https://twitter.com/Tecnogusweb/status/1587580726253277184,Tecnogusweb,Open Metaverse Alliance (OMA3) se presenta en la Web Summit en Lisboa https://t.co/yaFSFKzhE4,Bogotá,fi
2022-11-01 23:01:04+00:00,https://twitter.com/DJtabuarasa/status/1587580512217997312,DJtabuarasa,"@expresso Aumentou o número de parôlos no Mundo.
O KAOSTA JÁ DEVE TER PERCEBIDO O BARRETE QUE É O WEB SUMMIT","Lisboa, Portugal
",pt
2022-11-01 23:00:29+00:00,https://twitter.com/IOHK_Charles/status/1587580366667366403,IOHK_Charles,Lovely time at the Web Summit Speaker's reception here in Lisbon. Thanks for the hospitality of the Government of Portugal for providing one of their palaces :) https://t.co/hgLaFAuR1V,"Boulder, Colorado",en
2022-11-01 23:00:16+00:00,https://twitter.com/techinjektion/status/1587580309691940864,techinjektion,"#Tech #NewsFlash 11/01
Ukraine First Lady Olena Zelenska Asks Tech Community For Help In Surprise Web Summit Appearance
https://t.co/ydi731ElRr
#Technology #Bot #News",127.0.0.1,en
2022-11-01 22:59:26+00:00,https://twitter.com/JoseReisMachado/status/1587580102803587074,JoseReisMachado,"Olena Zelenska veio à Web Summit à procura de tecnologia para ajudar a Ucrânia
 https://t.co/22yyfe0hUm",LISBOA ,pt
2022-11-01 22:59:14+00:00,https://twitter.com/twiteuforia/status/1587580049183674368,twiteuforia,"Olena Zelenska na Web Summit: ""A Rússia põe a tecnologia ao serviço do terror""
Testemunho da Primeira Dama da #Ucrania em #Portugal
#warukraine
#russianinvasion
#websummit2022 https://t.co/DHnnaWKZ1e","Cascais, Portugal",pt
2022-11-01 22:57:06+00:00,https://twitter.com/StrawberryNG/status/1587579512044548096,StrawberryNG,"Binance CEO Changpeng Zhao took to the stage at Web Summit to discuss regulators, the crypto crash, and Elon Musk's unpredictability. https://t.co/vF6iHxc4qs",Nigeria,en
2022-11-01 22:54:53+00:00,https://twitter.com/brocalaabocaa/status/1587578955074256898,brocalaabocaa,"amanhã vou estar na cozinha a fazer almoços para o web summit, pânico",,pt
2022-11-01 22:51:09+00:00,https://twitter.com/cnnportugal/status/1587578014757359616,cnnportugal,Primeira-dama da Ucrânia só foi anunciada este domingo à tarde como convidada da Web Summit por razões de segurança https://t.co/Oly3k6K08F,Portugal,pt
2022-11-01 22:51:07+00:00,https://twitter.com/cnnportugal/status/1587578007358562305,cnnportugal,"O anúncio foi feito na cerimónia de abertura do evento tecnológico Web Summit 2022, que começou este domingo e termina na sexta-feira https://t.co/bCpLB7m4ZD",Portugal,pt
